"Package","Version"
"ps","1.9.1"
"purrr","1.0.4"
"qvalue","2.40.0"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.4.0"
"rappdirs","0.3.3"
"rbibutils","2.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppAnnoy","0.0.22"
"RcppArmadillo","14.6.0-1"
"RcppEigen","0.3.4.0.2"
"RcppGSL","0.3.13"
"RcppML","0.3.7"
"RcppParallel","5.1.10"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.17"
"Rdpack","2.6.4"
"readr","2.1.5"
"readxl","1.4.5"
"reformulas","0.4.1"
"remaCor","0.0.18"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.2.3"
"reprex","2.1.1"
"reshape2","1.4.4"
"reticulate","1.42.0"
"rex","1.2.1"
"Rfast","2.1.5.1"
"Rgraphviz","2.52.0"
"rhdf5","2.52.1"
"rhdf5filters","1.20.0"
"Rhdf5lib","1.30.0"
"RhpcBLASctl","0.23-42"
"rjson","0.2.23"
"rlang","1.1.6"
"rmarkdown","2.29"
"rmeta","3.0"
"roxygen2","7.3.2"
"rpart","4.1.24"
"rprojroot","2.0.4"
"RSpectra","0.16-2"
"RSQLite","2.4.1"
"rstudioapi","0.17.1"
"rsvd","1.0.5"
"Rtsne","0.17"
"rversions","2.1.2"
"rvest","1.0.4"
"S4Arrays","1.8.1"
"S4Vectors","0.46.0"
"safe","3.48.0"
"sandwich","3.1-1"
"sass","0.4.10"
"ScaledMatrix","1.16.0"
"scales","1.4.0"
"scater","1.36.0"
"scattermore","1.2"
"scatterpie","0.2.5"
"scuttle","1.18.0"
"see","0.11.0"
"segmented","2.1-4"
"selectr","0.4-2"
"sessioninfo","1.2.3"
"shiny","1.11.1"
"SingleCellExperiment","1.30.1"
"sitmo","2.0.2"
"SMFilter","1.0.3"
"snow","0.4-4"
"softImpute","1.4-3"
"sourcetools","0.1.7-1"
"SparseArray","1.8.0"
"SparseM","1.84-2"
"sparseMatrixStats","1.20.0"
"spatial","7.3-11"
"SPIA","2.60.0"
"splines","4.5.1"
"SQUAREM","2021.1"
"statmod","1.5.0"
"stats","4.5.1"
"stats4","4.5.1"
"stringi","1.8.7"
"stringr","1.5.1"
"styler","1.10.3"
"SummarizedExperiment","1.38.1"
"survival","3.8-3"
"svglite","2.2.1"
"sys","3.4.3"
"systemfonts","1.2.3"
"tcltk","4.5.1"
"testthat","3.2.3"
"textshaping","1.0.1"
"TH.data","1.1-3"
"tibble","3.3.0"
"tidyr","1.3.1"
"tidyselect","1.2.1"
