"Package","Version"
"hdf5r","1.3.8"
"here","1.0.1"
"HGNChelper","0.8.1"
"hgu95a.db","3.13.0"
"highr","0.10"
"Hmisc","5.1-0"
"hms","1.1.3"
"HSMMSingleCell","1.14.0"
"htmlTable","2.4.1"
"htmltools","0.5.6"
"htmlwidgets","1.6.2"
"httpgd","1.3.1"
"httpuv","1.6.11"
"httr","1.4.7"
"httr2","0.2.3"
"hwriter","1.3.2.1"
"iBreakDown","2.0.1"
"ica","1.0-3"
"ids","1.0.1"
"igraph","1.5.1"
"ingredients","2.3.0"
"ini","0.3.1"
"inline","0.3.19"
"interactiveDisplayBase","1.32.0"
"interp","1.1-4"
"intrinsicDimension","1.2.0"
"invgamma","1.1"
"ipred","0.9-14"
"IRanges","2.28.0"
"irlba","2.3.5.1"
"isoband","0.2.7"
"iterators","1.0.14"
"janitor","2.2.0"
"jpeg","0.1-10"
"jquerylib","0.1.4"
"jsonlite","1.8.7"
"kableExtra","1.4.0"
"kBET","0.99.6"
"KEGGgraph","1.54.0"
"KEGGREST","1.34.0"
"kernlab","0.9-33"
"KernSmooth","2.23-22"
"knitr","1.43"
"labeling","0.4.2"
"lambda.r","1.2.4"
"languageserver","0.3.16"
"later","1.3.1"
"lattice","0.21-8"
"latticeExtra","0.6-30"
"lava","1.7.2.1"
"lazyeval","0.2.2"
"leiden","0.4.3"
"leidenbase","0.1.25"
"lgr","0.4.4"
"lifecycle","1.0.3"
"limma","3.50.3"
"lintr","3.1.0"
"listenv","0.9.0"
"lme4","1.1-35.1"
"lmerTest","3.1-3"
"lmtest","0.9-40"
"locfit","1.5-9.8"
"logspline","2.1.20"
"loo","2.6.0"
"lsei","1.3-0"
"lubridate","1.9.2"
"M3Drop","1.20.0"
"magick","2.7.5"
"magrittr","2.0.3"
"maps","3.4.1"
"markdown","1.7"
"mashr","0.2.79"
"MASS","7.3-60"
"MAST","1.20.0"
"mathjaxr","1.6-0"
"Matrix","1.5-0"
"MatrixGenerics","1.6.0"
"MatrixModels","0.5-2"
"matrixStats","1.0.0"
"mclust","6.0.0"
"MCMCprecision","0.4.0"
"memoise","2.0.1"
"metacell","0.3.7"
"metadat","1.2-0"
"metafor","4.6-0"
"metap","1.8"
"metapod","1.2.0"
"mgcv","1.9-0"
"miloR","1.2.0"
"mime","0.12"
"miniUI","0.1.1.1"
"minqa","1.2.5"
"mixsqp","0.3-54"
"mixtools","2.0.0"
"mlbench","2.1-3.1"
"mlr3","0.16.1"
"mlr3learners","0.5.6"
"mlr3measures","0.5.0"
"mlr3misc","0.12.0"
"mnormt","2.1.1"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"monocle","2.22.0"
"monocle3","1.3.4"
"msigdb","1.2.0"
"msigdbr","7.5.1"
"MuDataSeurat","0.0.0.9000"
"multcomp","1.4-25"
"multipanelfigure","2.1.2"
"multtest","2.50.0"
"munsell","0.5.0"
"mutoss","0.1-13"
"mvtnorm","1.2-2"
"naturalsort","0.1.3"
"nlme","3.1-163"
"nloptr","2.0.3"
"NLP","0.2-1"
"nnet","7.3-19"
"nortest","1.0-4"
"numDeriv","2016.8-1.1"
"openssl","2.1.0"
"openxlsx","4.2.5.2"
"org.Hs.eg.db","3.14.0"
"org.Mm.eg.db","3.14.0"
"paletteer","1.5.0"
"palmerpenguins","0.1.1"
"paradox","0.11.1"
"parallelDist","0.2.6"
"parallelly","1.36.0"
"patchwork","1.1.3"
"pathview","1.34.0"
"pbapply","1.7-2"
"pbkrtest","0.5.2"
"pbmcapply","1.5.1"
"pdist","1.2.1"
"pheatmap","1.0.12"
"pillar","1.9.0"
"pixmap","0.4-12"
"pkgbuild","1.4.2"
"pkgconfig","2.0.3"
"pkgdown","2.0.7"
"pkgload","1.3.2.1"
"plogr","0.2.0"
"plotly","4.10.2"
"plotrix","3.8-2"
"plyr","1.8.8"
"plyranges","1.14.0"
"png","0.1-8"
"polyclip","1.10-4"
"polyester","1.30.0"
"polynom","1.4-1"
"praise","1.0.0"
"prettyunits","1.1.1"
"princurve","2.1.6"
"prismatic","1.1.1"
"pROC","1.18.4"
"processx","3.8.2"
"prodlim","2023.03.31"
"profvis","0.3.8"
"progress","1.2.2"
"progressr","0.14.0"
"promises","1.2.1"
"ProtGenerics","1.26.0"
"proxy","0.4-27"
"proxyC","0.3.3"
"PRROC","1.3.1"
"ps","1.7.5"
"pscl","1.5.5.1"
"psych","2.3.6"
"purrr","1.0.2"
"qlcMatrix","0.9.7"
"qqconf","1.3.2"
"quantreg","5.97"
"qvalue","2.26.0"
"R.cache","0.16.0"
"R.methodsS3","1.8.2"
"R.oo","1.25.0"
"R.utils","2.12.2"
"R6","2.5.1"
"ragg","1.2.5"
"randomForest","4.7-1.1"
"ranger","0.15.1"
"RANN","2.6.1"
"rappdirs","0.3.3"
"RBGL","1.70.0"
"rbibutils","2.2.14"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.11"
"RcppAnnoy","0.0.21"
"RcppArmadillo","0.12.6.1.0"
"RcppEigen","0.3.3.9.4"
"RcppGSL","0.3.13"
"RcppHNSW","0.4.1"
"RcppParallel","5.1.7"
"RcppProgress","0.4.2"
"RcppRoll","0.3.0"
"RcppTOML","0.2.2"
"RcppZiggurat","0.1.6"
"RCurl","1.98-1.12"
"Rdpack","2.4"
"readr","2.1.4"
"readxl","1.4.3"
"recipes","1.0.7"
"reformulas","0.4.1"
"reldist","1.7-2"
"remaCor","0.0.18"
"rematch","1.0.1"
"rematch2","2.1.2"
"remotes","2.4.2.1"
"reprex","2.0.2"
"reshape2","1.4.4"
"ResidualMatrix","1.4.0"
"restfulr","0.0.15"
"reticulate","1.31"
"rex","1.2.1"
"Rfast","2.1.0"
"rgeos","0.6-4"
"Rgraphviz","2.38.0"
"rhdf5","2.38.1"
"rhdf5filters","1.6.0"
"Rhdf5lib","1.16.0"
"RhpcBLASctl","0.23-42"
"Rhtslib","1.26.0"
"riverplot","0.10"
"rjson","0.2.21"
"rlang","1.1.1"
"rliger","1.0.0"
"rly","1.7.4"
"rmarkdown","2.24"
"rmeta","3.0"
"robustbase","0.99-0"
"ROCR","1.0-11"
"roxygen2","7.2.3"
"rpart","4.1.19"
"rprojroot","2.0.3"
"rsample","1.2.0"
"Rsamtools","2.10.0"
"RSpectra","0.16-1"
"RSQLite","2.3.1"
"rstan","2.21.8"
"rstantools","2.3.1.1"
"rstatix","0.7.2"
"rstudioapi","0.15.0"
"rsvd","1.0.5"
"rtracklayer","1.54.0"
"Rtsne","0.16"
"RUnit","0.4.32"
"ruv","0.9.7.1"
"rversions","2.1.2"
"rvest","1.0.3"
"s2","1.1.4"
"S4Vectors","0.32.4"
"safe","3.34.0"
"sandwich","3.0-2"
"sass","0.4.7"
"ScaledMatrix","1.2.0"
"scales","1.2.1"
"scater","1.22.0"
"scattermore","1.2"
"scatterpie","0.2.1"
"scDblFinder","1.8.0"
"scds","1.10.0"
"sceasy","0.0.7"
"scGate","1.2.0"
"SCINA","1.2.0"
"scmap","1.16.0"
"scMerge","1.10.0"
"SCP","0.4.8"
"scProportionTest","0.0.0.9000"
"scran","1.22.1"
"scRNAseq","2.8.0"
"sctransform","0.3.5"
"scuttle","1.4.0"
"segmented","1.6-4"
"selectr","0.4-2"
"seqinr","4.2-30"
"sessioninfo","1.2.2"
"Seurat","4.3.0.1"
"SeuratDisk","0.0.0.9020"
"SeuratObject","4.1.3"
"SeuratWrappers","0.3.1"
"sf","1.0-14"
"sfsmisc","1.1-16"
"shadowtext","0.1.2"
"shape","1.4.6"
"shiny","1.7.5"
"shinyalert","3.0.0"
"ShinyCell","2.1.0"
"shinycssloaders","1.0.0"
"shinydashboard","0.7.2"
"shinyFiles","0.9.3"
"shinyhelper","0.3.2"
"shinyjs","2.1.0"
"shinyWidgets","0.7.6"
"Signac","1.10.0"
"simplifyEnrichment","1.4.0"
"SingleCellExperiment","1.16.0"
"singleCellTK","2.4.0"
"SingleR","1.8.1"
"sitmo","2.0.2"
"slam","0.1-50"
"slider","0.3.1"
"slingshot","2.2.1"
"SMFilter","1.0.3"
"sn","2.1.1"
"snakecase","0.11.0"
"snow","0.4-4"
"softImpute","1.4-1"
"sourcetools","0.1.7-1"
"sp","2.0-0"
"spam","2.9-1"
"SparseM","1.81"
"sparseMatrixStats","1.6.0"
"sparsesvd","0.2-2"
"spatial","7.3-17"
"spatstat.core","2.4-4"
"spatstat.data","3.0-1"
"spatstat.explore","3.2-1"
"spatstat.geom","3.2-4"
"spatstat.random","3.1-5"
"spatstat.sparse","3.0-2"
"spatstat.univar","3.0-1"
"spatstat.utils","3.1-0"
"spData","2.3.0"
"spdep","1.2-8"
"speedglm","0.3-5"
"SPIA","2.46.0"
"SQUAREM","2021.1"
"STACAS","2.1.0"
"StanHeaders","2.26.27"
"startupmsg","0.9.6"
"statmod","1.5.0"
"stringi","1.7.12"
"stringr","1.5.0"
"styler","1.10.1"
"SummarizedExperiment","1.24.0"
"survival","3.5-7"
"sva","3.42.0"
"svglite","2.1.1"
"svMisc","1.2.3"
"sys","3.4.2"
"systemfonts","1.0.4"
"tensor","1.5"
"TENxPBMCData","1.12.0"
"terra","1.7-55"
"testthat","3.1.10"
"textshaping","0.3.6"
"TFisher","0.2.0"
"tgconfig","0.1.2"
"tgstat","2.3.24"
"tgutil","0.1.14"
"TH.data","1.1-2"
"tibble","3.2.1"
"tidygraph","1.2.3"
"tidyr","1.3.0"
"tidyselect","1.2.0"
"tidytree","0.4.5"
"tidyverse","2.0.0"
"timechange","0.2.0"
"timeDate","4022.108"
"tinytex","0.46"
"tm","0.7-11"
"TrajectoryUtils","1.2.0"
"treeio","1.18.1"
"truncnorm","1.0-9"
"tweenr","2.0.2"
"tximport","1.22.0"
"tzdb","0.4.0"
"UCell","1.3.1"
"umap","0.2.10.0"
"units","0.8-4"
"urlchecker","1.0.1"
"usethis","2.2.2"
"utf8","1.2.3"
"uuid","1.1-1"
"uwot","0.1.16"
"VAM","1.0.0"
"variancePartition","1.24.1"
"VariantAnnotation","1.40.0"
"vctrs","0.6.3"
"VennDiagram","1.7.3"
"VGAM","1.1-9"
"vipor","0.4.5"
"viridis","0.6.4"
"viridisLite","0.4.2"
"vroom","1.6.3"
"waldo","0.5.1"
"warp","0.2.1"
"whisker","0.4.1"
"withr","2.5.0"
"wk","0.9.0"
"WriteXLS","6.4.0"
"xfun","0.40"
"xgboost","1.7.5.1"
"XML","3.99-0.14"
"xml2","1.3.5"
"xmlparsedata","1.0.5"
"xopen","1.0.0"
"xtable","1.8-4"
"XVector","0.34.0"
"yaImpute","1.0-33"
"yaml","2.3.7"
"yulab.utils","0.0.7"
"zeallot","0.1.0"
"zellkonverter","1.4.0"
"zigg","0.0.2"
"zinbwave","1.16.0"
"zip","2.3.0"
"zlibbioc","1.40.0"
"zoo","1.8-12"
"base","4.1.3"
"boot","1.3-28"
"class","7.3-20"
"cluster","2.1.3"
"codetools","0.2-18"
"compiler","4.1.3"
"datasets","4.1.3"
"foreign","0.8-82"
"graphics","4.1.3"
"grDevices","4.1.3"
"grid","4.1.3"
"KernSmooth","2.23-20"
"lattice","0.20-45"
"MASS","7.3-56"
"Matrix","1.4-1"
"methods","4.1.3"
"mgcv","1.8-40"
"nlme","3.1-157"
"nnet","7.3-17"
"parallel","4.1.3"
"rpart","4.1.16"
"spatial","7.3-11"
"splines","4.1.3"
"stats","4.1.3"
"stats4","4.1.3"
"survival","3.2-13"
"tcltk","4.1.3"
"tools","4.1.3"
"utils","4.1.3"
