Activation;Tonic;Genes_Polyfun;Genes_Prolif;Genes_Teff;GlucoliticProcess;CD8_CARHigh_Signature;KEGG1;KEGG2;Exhaustion1;Exhau_2;Temeff_TnTcm;Gluconeogenesis;TricarboxylicAcidCycle
SIRPG;;RPL23A;FBXO5;EVL;SLC4A4;HLA-DQA2;ATP6V1G2;;C330007P06RIK;;CRTAM;G6PC;SUCLG1
ICOS;;SLC1A5;HIST1H1D;CD48;SLC4A4;HMSD;ATP6V1G3;;GPD2;;;G6PC;SUCLG1
IL18R1;;ODC1;DHFR;ATP6V1G1;PGK2;CD300A;ATP6V1H;;2700084L22RIK;;;G6PC;ACO1
SLAMF7;;GAPDH;RNASEH2A;BIN2;PGK2;ELL2;ATP8;;RNF11;;;C1QTNF3;PDHA1
PTPN7;;RPL12;CCNE2;GBP5;PGK2;HLA-DMA;COX1;;CAPZB;;;PPARGC1A;isocit_dh_human
ITK;;IL13;ATAD5;TC2N;ALDOB;CDK1;COX10;;TUBB2;;;PPARGC1A;NNT
CRTAM;;ZEB2;CDC6;ISG15;ALDOB;DMD;COX11;;BUB1;;;PGAM1;NNT
GZMA;;RGS16;RAD51;IL4R;ALDOB;SGPP2;COX15;;JAK3;;;PCK1;IDH3G
CD3E;;TNFAIP8;MCM5;SAMHD1;ENO2;MMP9;COX17;;9130410M22RIK;;;PCK1;IDH3G
GPR171;;CYCS;DONSON;RABAC1;ENO2;ENTPD1;COX2;;CD9;;;PCK1;SDHA
TARP;;;;IFITM2;ENO2;VSIR;COX3;;TCRG-V4;;;PCK1;SDHA
CD3D;;;;CTSW;HK1;AC009133.3;COX4I1;;1810054D07RIK;;;PCK1;SDHA
LCK;;;;RPL27A;HK1;RHOXF1;COX4I2;;RCN;;;GCK;IREB2
SLAMF1;;;;IRF1;BPGM;BHLHE40-AS1;COX5A;;2010100O12RIK;;;ARPP19;ACO2
CD3G;;;;;TIGAR;TSPAN32;COX5B;;SYBL1;;;SLC35B4;ACO2
;;;;;OGDHL;HLA-DRB5;COX6A1;;ETF1;;;FOXO1;ACO2
;;;;;HIF1A;CMAHP;COX6A2;;CPA3;;;SLC25A11;ACO2
;;;;;RAE1;PHLDA1;COX6B1;;CD7;;;USP7;DLD
;;;;;ALDOC;PTPN3;COX6B2;;ART3;;;GAPDHS;FAHD1
;;;;;ALDOC;DSCC1;COX6C;;1810035L17RIK;;;FAM3C;MDH1
;;;;;PKM;LGALS3;COX6CP3;;ATF1;;;PPP4R3B;DHTKD1
;;;;;PKM;ASF1B;COX7A1;;PRKWNK1;;;PGAM2;SUCLG2
;;;;;PKM;PLEKHG3;COX7A2;;MTV43;;;EP300;SUCLG2
;;;;;PKM;TYMS;COX7A2L;;CIT;;;INS;SUCLG2
;;;;;PKM;PDLIM4;COX7B;;CCRL2;;;FBP2;
;;;;;PKM;VDR;COX7B2;;ADFP;;;FBP2;
;;;;;PKM;PTGIR;COX7C;;D8ERTD531E;;;FBP2;
;;;;;TPI1;MCM4;COX8A;;TCEA2;;;SLC25A1;
;;;;;TPI1;GPR155;COX8C;;MYH4;;;GCG;
;;;;;NUP188;CD82;CYC1;;TNFRSF1A;;;MST1;
;;;;;POM121C;TRIB2;CYTB;;SPP1;;;CRTC2;
;;;;;PFKM;SEMA4A;LHPP;;S100A13;;;LEPR;
;;;;;PFKM;TSPAN18;LOC100133737;;PON2;;;SIK1;
;;;;;PFKM;CYB5A;LOC642502;;AI181996;;;ALDOA;
;;;;;PFKM;CD248;LOC644310;;G1P2;;;ERFE;
;;;;;PFKM;CLIC3;LOC727947;;TANK;;;ATF4;
;;;;;PFKM;HLA-DMB;ND1;;SHKBP1;;;ATF3;
;;;;;PFKM;ARHGAP10;ND2;;2510004L0RIK;;;PGP;
;;;;;PFKM;PDE6G;ND3;;D15ERTD781E;;;PFKFB1;
;;;;;PFKM;MHENCR;ND4;;ICSBP1;;;ENO3;
;;;;;PFKM;IL7R;ND4L;;BC024955;;;PPARA;
;;;;;PFKM;ZBED2;ND5;;GDF3;;;PC;
;;;;;ACTN3;TUBB;ND6;;ITGAV;;;PC;
;;;;;PGM2L1;TK1;NDUFA1;;1110006I15RIK;;;PC;
;;;;;PSEN1;NCAPH;NDUFA10;;CPSF2;;;GPD2;
;;;;;NUP153;NOSIP;NDUFA11;;KLK6;;;GPI;
;;;;;PPARGC1A;CCL3;NDUFA2;;CPT2;;;GPI;
;;;;;PGAM1;SKA3;NDUFA3;;LMAN2;;;ENO1;
;;;;;PGAM1;LILRB3;NDUFA4;;TOR3A;;;GPD1;
;;;;;PGAM1;AL591895.1;NDUFA4L2;;CRYGB;;;MAEA;
;;;;;GCK;FAM111B;NDUFA5;;GPR65;;;C1QTNF12;
;;;;;GCK;EGR2;NDUFA6;;MKI67;;;SLC39A14;
;;;;;GCK;NFKBIA;NDUFA7;;TCRB-V13;;;SESN2;
;;;;;GCK;FANCA;NDUFA8;;NPTXR;;;GAPDH;
;;;;;ZBTB20;AC111182.1;NDUFA9;;SNRPB2;;;PGM1;
;;;;;TREX1;LINC00861;NDUFAB1;;NDFIP1;;;SOGA1;
;;;;;GCKR;ICAM1;NDUFB1;;PTGER2;;;KAT2A;
;;;;;APP;GZMK;NDUFB10;;ZFP91;;;OGT;
;;;;;OGDH;DUSP2;NDUFB2;;SPOCK2;;;DGAT2;
;;;;;NDC1;STAG3;NDUFB3;;5730469M10RIK;;;FAM3A;
;;;;;GAPDHS;ALOX5;NDUFB4;;CXCL10;;;RBP4;
;;;;;GAPDHS;RIPOR2;NDUFB5;;GCIN;;;RBP4;
;;;;;GAPDHS;FCMR;NDUFB6;;TRIM25;;;FBP1;
;;;;;PFKP;AHI1;NDUFB7;;WBSCR5;;;FBP1;
;;;;;PFKP;CLSPN;NDUFB8;;MOX2;;;FBP1;
;;;;;PFKP;CYS1;NDUFB9;;DOCK7;;;FBP1;
;;;;;PFKP;MX2;NDUFC1;;PAWR;;;FBP1;
;;;;;PFKP;CDC45;NDUFC2;;CHL1;;;FBP1;
;;;;;PRXL2C;SLCO3A1;NDUFS1;;;;;FBP1;
;;;;;IGF1;VCAM1;NDUFS2;;;;;SERPINA12;
;;;;;PGAM2;ATAD2;NDUFS3;;;;;KAT2B;
;;;;;PGAM2;ITGA6;NDUFS4;;;;;ADIPOQ;
;;;;;ENO4;TFRC;NDUFS5;;;;;MDH1;
;;;;;ENO4;ZNF683;NDUFS6;;;;;SLC25A12;
;;;;;AAAS;TCF19;NDUFS7;;;;;PCK2;
;;;;;EP300;ESCO2;NDUFS8;;;;;PCK2;
;;;;;INS;AKR1C3;NDUFV1;;;;;PCK2;
;;;;;INS;BATF3;NDUFV2;;;;;RANBP2;
;;;;;NUP93;CCDC69;NDUFV3;;;;;CLK2;
;;;;;INSR;ST8SIA1;PPA1;;;;;DGKQ;
;;;;;PGAM4;BRCA1;PPA2;;;;;;
;;;;;PGAM4;PCLAF;SDHA;;;;;;
;;;;;ESRRB;ZWILCH;SDHB;;;;;;
;;;;;HTR2A;CENPH;SDHC;;;;;;
;;;;;NUP133;CAVIN3;SDHD;;;;;;
;;;;;NUP160;LAYN;TCIRG1;;;;;;
;;;;;ALDOA;OIP5;UQCR10;;;;;;
;;;;;ALDOA;TRAF1;UQCR11;;;;;;
;;;;;ALDOA;CENPN;UQCRB;;;;;;
;;;;;NUP85;GJB2;UQCRC1;;;;;;
;;;;;SIRT6;AC022075.1;UQCRC2;;;;;;
;;;;;PFKFB1;CENPM;UQCRFS1;;;;;;
;;;;;PFKFB1;CTDSPL;UQCRH;;;;;;
;;;;;PFKFB1;CDC6;UQCRHL;;;;;;
;;;;;HKDC1;RASSF4;UQCRQ;;;;;;
;;;;;HKDC1;AURKB;;;;;;;
;;;;;IFNG;UBE2C;;;;;;;
;;;;;NUP214;THRA;;;;;;;
;;;;;MYOG;SHCBP1;;;;;;;
;;;;;ENO3;ORC1;;;;;;;
;;;;;ENO3;ORC6;;;;;;;
;;;;;SEC13;CDCA5;;;;;;;
;;;;;PPARA;AZIN2;;;;;;;
;;;;;GPI;SKA1;;;;;;;
;;;;;GPI;NAB2;;;;;;;
;;;;;ENO1;CDCP1;;;;;;;
;;;;;ENO1;NR5A2;;;;;;;
;;;;;ENO1;CRTAM;;;;;;;
;;;;;ENO1;EZH2;;;;;;;
;;;;;GPD1;AL139246.5;;;;;;;
;;;;;PFKFB4;PTGER2;;;;;;;
;;;;;PRKAA2;CITED4;;;;;;;
;;;;;NUP42;SIGLEC17P;;;;;;;
;;;;;NUP50;DUSP10;;;;;;;
;;;;;EIF6;EXO1;;;;;;;
;;;;;HDAC4;BIRC3;;;;;;;
;;;;;GALK1;ARHGAP31;;;;;;;
;;;;;NUP205;SPC25;;;;;;;
;;;;;GAPDH;TICRR;;;;;;;
;;;;;GAPDH;JPH4;;;;;;;
;;;;;PGM1;WNT5B;;;;;;;
;;;;;NUP88;XRCC2;;;;;;;
;;;;;NUP210;E2F8;;;;;;;
;;;;;FOXK1;ZWINT;;;;;;;
;;;;;OGT;TOX2;;;;;;;
;;;;;JMJD8;PXN;;;;;;;
;;;;;JMJD8;IGSF9B;;;;;;;
;;;;;PRKAA1;DMC1;;;;;;;
;;;;;ADPGK;TMEM63A;;;;;;;
;;;;;FBP1;CCL1;;;;;;;
;;;;;FBP1;HJURP;;;;;;;
;;;;;SLC4A1;CCL22;;;;;;;
;;;;;PFKFB2;TIFA;;;;;;;
;;;;;PFKFB2;ARHGEF11;;;;;;;
;;;;;NUP54;GINS4;;;;;;;
;;;;;NUP58;KIF23;;;;;;;
;;;;;P2RX7;RAD51;;;;;;;
;;;;;NUP107;SLC1A4;;;;;;;
;;;;;ZBTB7A;MYBL2;;;;;;;
;;;;;STAT3;RMI2;;;;;;;
;;;;;NUP62;CDT1;;;;;;;
;;;;;PKLR;ZC3H12D;;;;;;;
;;;;;PKLR;RCBTB2;;;;;;;
;;;;;PKLR;SPAG5;;;;;;;
;;;;;PKLR;PFKFB3;;;;;;;
;;;;;DHTKD1;PDGFRB;;;;;;;
;;;;;PFKFB3;AC004264.2;;;;;;;
;;;;;RANBP2;TTN;;;;;;;
;;;;;;CKAP2L;;;;;;;
;;;;;;MELK;;;;;;;
;;;;;;NTRK2;;;;;;;
;;;;;;RFC3;;;;;;;
;;;;;;RAD51AP1;;;;;;;
;;;;;;TNFRSF10A;;;;;;;
;;;;;;CCDC34;;;;;;;
;;;;;;GCA;;;;;;;
;;;;;;CDK2;;;;;;;
;;;;;;BARD1;;;;;;;
;;;;;;TNFAIP3;;;;;;;
;;;;;;C4orf46;;;;;;;
;;;;;;ADD3;;;;;;;
;;;;;;TMEM71;;;;;;;
;;;;;;CENPJ;;;;;;;
;;;;;;TC2N;;;;;;;
;;;;;;FOXM1;;;;;;;
;;;;;;CDC25C;;;;;;;
;;;;;;POC1A;;;;;;;
;;;;;;AC104530.1;;;;;;;
;;;;;;IER3;;;;;;;
;;;;;;FILIP1L;;;;;;;
;;;;;;CPM;;;;;;;
;;;;;;CAPN12;;;;;;;
;;;;;;CAV1;;;;;;;
;;;;;;TMEM106C;;;;;;;
;;;;;;MCM10;;;;;;;
;;;;;;AC026979.2;;;;;;;
;;;;;;ESPL1;;;;;;;
;;;;;;PLXDC1;;;;;;;
;;;;;;RASGEF1A;;;;;;;
;;;;;;POLD3;;;;;;;
;;;;;;AKAP5;;;;;;;
;;;;;;AFAP1L2;;;;;;;
;;;;;;MPP7;;;;;;;
;;;;;;AC022726.2;;;;;;;
;;;;;;FABP5;;;;;;;
;;;;;;CTNNAL1;;;;;;;
;;;;;;GINS1;;;;;;;
;;;;;;MGLL;;;;;;;
;;;;;;TONSL;;;;;;;
;;;;;;TRAF4;;;;;;;
;;;;;;ARNTL2;;;;;;;
;;;;;;COL1A1;;;;;;;
;;;;;;TUBA1B;;;;;;;
;;;;;;CD83;;;;;;;
;;;;;;IFITM1;;;;;;;
;;;;;;TLR5;;;;;;;
;;;;;;CHEK1;;;;;;;
;;;;;;UHRF1;;;;;;;
;;;;;;CIT;;;;;;;
;;;;;;MAN1C1;;;;;;;
;;;;;;CDH23;;;;;;;
;;;;;;GHRL;;;;;;;
;;;;;;AC012615.1;;;;;;;
;;;;;;POU2AF1;;;;;;;
;;;;;;TIMP1;;;;;;;
;;;;;;BASP1;;;;;;;
;;;;;;TNIP3;;;;;;;
;;;;;;WDR86-AS1;;;;;;;
;;;;;;FBXL16;;;;;;;
;;;;;;SUV39H2;;;;;;;
;;;;;;KCNK5;;;;;;;
;;;;;;ENPP2;;;;;;;
;;;;;;CDCA3;;;;;;;
;;;;;;SORBS3;;;;;;;
;;;;;;PRRT3;;;;;;;
;;;;;;CCNA2;;;;;;;
;;;;;;LINC02812;;;;;;;
;;;;;;FANCI;;;;;;;
;;;;;;TRAIP;;;;;;;
;;;;;;UCK2;;;;;;;
